feature,importance
login_timestamp_8/21/2022,7.477236041827981e-05
login_timestamp_8/9/2022,7.077260431292458e-05
login_timestamp_9/1/2022,7.07003867072864e-05
login_timestamp_3/2/2022,7.018116822854664e-05
login_timestamp_1/13/2022,6.960140861409646e-05
login_timestamp_12/27/2022,6.954742722808938e-05
login_timestamp_6/11/2022,6.940126427944103e-05
login_timestamp_8/13/2022,6.902371885567456e-05
login_timestamp_3/29/2022,6.889190627575769e-05
login_timestamp_8/26/2022,6.880883071736291e-05
login_timestamp_6/6/2022,6.86600916467945e-05
login_timestamp_5/8/2022,6.853836264718896e-05
login_timestamp_5/11/2022,6.850904258999904e-05
login_timestamp_3/7/2022,6.78616246092658e-05
login_timestamp_2/13/2022,6.712053738537495e-05
login_timestamp_2/25/2022,6.585136289412403e-05
login_timestamp_12/17/2022,6.584511304190981e-05
login_timestamp_4/13/2022,6.507265845464612e-05
login_timestamp_9/26/2022,6.400738087937712e-05
login_timestamp_2/4/2022,6.39948270402421e-05
login_timestamp_9/9/2022,6.374631778773591e-05
login_timestamp_2/12/2022,6.354753262564107e-05
login_timestamp_6/25/2022,6.33143808789644e-05
login_timestamp_6/22/2022,6.328818338616726e-05
login_timestamp_12/12/2022,6.324129005444047e-05
login_timestamp_11/23/2022,6.282986744590192e-05
login_timestamp_6/7/2022,6.107125029457947e-05
login_timestamp_8/22/2022,6.0584019177734665e-05
login_timestamp_5/12/2022,6.045367073956721e-05
login_timestamp_7/11/2022,6.015771546530512e-05
login_timestamp_3/23/2022,6.0062073175288584e-05
login_timestamp_9/12/2022,5.992714148402126e-05
login_timestamp_11/26/2022,5.969428833723154e-05
login_timestamp_9/24/2022,5.961985177202234e-05
login_timestamp_3/18/2022,5.8971927028398634e-05
login_timestamp_5/9/2022,5.836179860023456e-05
login_timestamp_7/29/2022,5.7738556464147265e-05
login_timestamp_10/13/2022,5.666246972517449e-05
login_timestamp_9/25/2022,5.643234343849737e-05
login_timestamp_12/9/2022,5.59092268358586e-05
login_timestamp_12/29/2022,5.571799524698294e-05
login_timestamp_5/4/2022,5.54460253082193e-05
login_timestamp_8/8/2022,5.541079539087643e-05
login_timestamp_3/24/2022,5.518823808948477e-05
login_timestamp_3/28/2022,5.518498051628964e-05
